step,reward,answer_reward,format_reward
1.0,0.03515625,0.03515625,0.203125
2.0,0.0859375,0.0859375,0.453125
3.0,0.14453125,0.14453125,0.56640625
4.0,0.17578125,0.17578125,0.6328125
5.0,0.203125,0.203125,0.73828125
6.0,0.2421875,0.2421875,0.734375
7.0,0.24609375,0.24609375,0.76171875
8.0,0.21875,0.21875,0.77734375
9.0,0.24609375,0.24609375,0.83984375
10.0,0.3203125,0.3203125,0.796875
11.0,0.37109375,0.37109375,0.796875
12.0,0.48828125,0.48828125,0.8671875
13.0,0.50390625,0.50390625,0.8828125
14.0,0.484375,0.484375,0.8515625
15.0,0.46484375,0.46484375,0.828125
16.0,0.41015625,0.41015625,0.8984375
17.0,0.41015625,0.41015625,0.8359375
18.0,0.37890625,0.37890625,0.80078125
19.0,0.4375,0.4375,0.78125
20.0,0.5078125,0.5078125,0.90625
21.0,0.546875,0.546875,0.84375
22.0,0.55078125,0.55078125,0.89453125
23.0,0.5703125,0.5703125,0.89453125
24.0,0.44921875,0.44921875,0.765625
25.0,0.48828125,0.48828125,0.82421875
26.0,0.4921875,0.4921875,0.8515625
27.0,0.5859375,0.5859375,0.88671875
28.0,0.62890625,0.62890625,0.8828125
29.0,0.48046875,0.48046875,0.8515625
30.0,0.51171875,0.51171875,0.88671875
31.0,0.671875,0.671875,0.8828125
32.0,0.484375,0.484375,0.85546875
33.0,0.53125,0.53125,0.91796875
34.0,0.4765625,0.4765625,0.92578125
35.0,0.57421875,0.57421875,0.953125
36.0,0.63671875,0.63671875,0.8984375
37.0,0.54296875,0.54296875,0.9453125
38.0,0.4375,0.4375,0.93359375
39.0,0.625,0.625,0.96875
40.0,0.50390625,0.50390625,0.94140625
41.0,0.5078125,0.5078125,0.94140625
42.0,0.4453125,0.4453125,0.91796875
43.0,0.671875,0.671875,0.9453125
44.0,0.5390625,0.5390625,0.9453125
45.0,0.46484375,0.46484375,0.9140625
46.0,0.66796875,0.66796875,0.96875
47.0,0.5,0.5,0.92578125
48.0,0.625,0.625,0.97265625
49.0,0.65625,0.65625,0.96484375
50.0,0.59375,0.59375,0.94921875
